ID,actionIDNaziv,actionOptionIDN,playerID,actionPosX1,actionPosY1,actionPosX2,actionPosY2,name
6262392,CENTARSUT,PO ZEMLJI,5335,262,70.32,182,407.32,M. Hasebe
6263768,CENTARSUT,DOBAR,16520,139,130.32,114,543.32,S. Aigner
6264140,CENTARSUT,PO ZEMLJI,5335,147,146.32,204,379.32,M. Hasebe
6309413,CENTARSUT,DOBAR,57720,186,91.32,151,348.32,T. Chandler
6309452,CENTARSUT,DOBAR,57720,234,82.32,183,414.32,T. Chandler
6309545,CENTARSUT,DOBAR,40700,130,190.32,109,375.32,S. Medojevic
6423934,CENTARSUT,DOBAR,77888,286,93.32,156,444.32,H. Seferovic
6425211,CENTARSUT,DOBAR,5335,272,136.32,152,479.32,M. Hasebe
6468643,CENTARSUT,PARABOLA,16520,97,71.32,103,393.32,S. Aigner
6494326,CENTARSUT,DOBAR,16520,227,76.32,224,345.32,S. Aigner
6496216,CENTARSUT,LOS,16520,85,124.32,212,404.32,S. Aigner
6496865,CENTARSUT,DOBAR,16520,255,173.32,229,434.32,S. Aigner
6496926,CENTARSUT,PARABOLA,196661,225,138.32,84,414.32,A. Ignjovski
6499722,CENTARSUT,ODLICAN,196661,254,105.32,128,411.32,A. Ignjovski
6500631,CENTARSUT,DOBAR,77888,347,120.32,201,331.32,H. Seferovic
6502053,CENTARSUT,DOBAR,199745,286,175.32,197,310.32,M. Stendera
6633095,CENTARSUT,LOS,199745,262,109.32,201,470.32,M. Stendera
6637473,CENTARSUT,LOS,16520,62,158.32,127,427.32,S. Aigner
6638118,CENTARSUT,LOS,16520,322,154.32,197,371.32,S. Aigner
6668936,CENTARSUT,ODLICAN,16520,200,127.32,139,496.32,S. Aigner
6672204,CENTARSUT,ODLICAN,212914,213,153.32,116,451.32,Y. Regasel
6720237,CENTARSUT,DOBAR,22870,73,154.32,117,407.32,M. Fabian
6722628,CENTARSUT,LOS,212914,225,93.32,134,675.32,Y. Regasel
6762742,CENTARSUT,DOBAR,212914,319,76.32,136,345.32,Y. Regasel
6762898,CENTARSUT,LOS,1770,338,88.32,213,291.32,S. Huszti
6868674,CENTARSUT,ODLICAN,5335,293,123.32,156,407.32,M. Hasebe
